1	1	1	5.95434	1.32037e-05
1	1	2	7.40455	7.24947e-06
1	1	3	6.24159	1.08804e-05
1	2	1	7.49695	6.61132e-06
1	2	2	7.26541	6.66964e-06
1	2	3	7.29212	6.56756e-06
1	3	1	7.37584	6.49926e-06
1	3	2	7.55356	6.04399e-06
1	3	3	6.94568	7.58052e-06
1	4	1	7.42509	6.53668e-06
1	4	2	7.60436	5.80861e-06
1	4	3	7.49855	6.02007e-06
1	5	1	7.03066	9.03964e-06
1	5	2	7.6885	6.60653e-06
1	5	3	7.56351	6.97318e-06
2	1	1	6.37903	7.80306e-06
2	1	2	5.68473	9.75524e-06
2	1	3	6.36835	7.60743e-06
2	1	4	5.86992	1.18373e-05
2	1	5	6.18125	1.0313e-05
2	1	6	6.13113	1.01503e-05
2	1	7	7.44731	6.01058e-06
2	2	1	5.98211	8.9066e-06
2	2	2	5.61563	9.75499e-06
2	2	3	4.89759	1.44602e-05
2	2	4	6.21119	9.07919e-06
2	2	5	5.75447	1.22911e-05
2	2	6	6.18485	9.37985e-06
2	2	7	5.86083	1.01232e-05
2	3	1	5.88278	9.74246e-06
2	3	2	6.08211	8.13831e-06
2	3	3	6.3254	7.66047e-06
2	3	4	6.29046	9.53732e-06
2	3	5	6.86146	7.67565e-06
2	3	6	6.07518	1.00651e-05
2	3	7	6.07115	9.88325e-06
2	4	1	5.87688	9.69823e-06
2	4	2	6.68172	6.41797e-06
2	4	3	7.31008	5.79294e-06
2	4	4	5.90435	1.11509e-05
2	4	5	6.93933	6.65489e-06
2	4	6	6.08475	1.04321e-05
2	4	7	7.28482	6.36938e-06
2	5	1	8.00526	4.42047e-06
2	5	2	6.47318	7.04632e-06
2	5	3	6.78227	6.66062e-06
2	5	4	7.41999	6.52447e-06
2	5	5	7.89042	5.39225e-06
2	5	6	7.5429	6.2822e-06
2	5	7	5.78621	1.08344e-05
3	1	1	6.30136	6.50061e-05
3	1	2	5.6924	6.47234e-05
3	1	3	5.95462	5.06546e-05
3	1	4	6.39307	3.96305e-05
3	1	5	5.4563	6.32478e-05
3	1	6	6.05913	4.30093e-05
3	2	1	5.31988	7.63793e-05
3	2	2	6.13214	5.71477e-05
3	2	3	6.36219	5.85144e-05
3	2	4	5.3813	6.39977e-05
3	2	5	6.04874	4.27219e-05
3	2	6	6.00693	4.34053e-05
3	3	1	6.19273	5.33182e-05
3	3	2	6.06961	5.08342e-05
3	3	3	6.47108	4.88561e-05
3	3	4	6.06569	4.63266e-05
3	3	5	5.19478	6.99066e-05
3	3	6	5.31648	6.84909e-05
3	4	1	3.08509	0.000345573
3	4	2	7.16322	3.87365e-05
3	4	3	6.38136	5.59762e-05
3	4	4	6.09148	5.49333e-05
3	4	5	6.17612	4.25573e-05
3	4	6	6.2372	3.9295e-05
3	5	1	6.26848	4.47301e-05
3	5	2	6.38592	4.47762e-05
3	5	3	6.53076	4.03068e-05
3	5	4	6.35543	4.11908e-05
3	5	5	6.41711	4.07752e-05
4	1	1	6.05624	7.42156e-05
4	1	2	6.27206	4.95695e-05
4	1	3	6.07226	4.87669e-05
4	1	4	6.38223	5.14278e-05
4	1	5	5.3655	7.98799e-05
4	1	6	5.81505	5.79812e-05
4	2	1	6.21862	5.62887e-05
4	2	2	6.19065	5.16265e-05
4	2	3	5.96747	7.45693e-05
4	2	4	5.6254	5.69606e-05
4	2	5	6.1172	4.86922e-05
4	2	6	6.25869	6.07267e-05
4	3	1	5.68348	6.54599e-05
4	3	2	3.23805	0.000276413
4	3	3	6.10566	5.59728e-05
4	3	4	6.78792	3.71448e-05
4	3	5	6.56099	3.59287e-05
4	3	6	6.27545	5.71898e-05
4	4	1	6.19987	4.93536e-05
4	4	2	4.07979	0.00012847
4	4	3	6.22474	5.13476e-05
4	4	4	6.26723	5.45454e-05
4	4	5	6.09	6.08886e-05
4	4	6	5.42424	8.46897e-05
4	5	1	6.36486	4.52248e-05
4	5	2	6.67601	4.07386e-05
4	5	3	6.21024	4.90585e-05
4	5	4	5.58012	6.99532e-05
4	5	5	6.1024	6.44805e-05
5	1	1	6.68422	6.34161e-06
5	1	2	5.97081	1.04022e-05
5	2	1	5.68726	9.8214e-06
5	2	2	6.14634	8.05352e-06
5	3	1	5.97829	8.58264e-06
5	3	2	6.59834	6.63889e-06
5	4	1	7.53706	4.83991e-06
5	4	2	5.84327	1.13479e-05
